,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
4215,Purples,1.0,792.6969732999999,23986.83285,30-45,70092.95361,No,89.31839836,Yes,Male,After_16:00,,0.43088671799999995,7688.0,59.071864600000005,90.25940537,1025.937009,706.4115431,14.73220089,7.685822311,8.312000000000001,7514.483966,Maybe,8240.886396,1.051031665,90.77932802,69.57839713,264.2323244,100.0,Education,12.0,748.7723267000001,1.0,Car,Public_Sector,Yes,1.0,54.15157484
4216,Purples,6.0,206.31608490000002,12305.78153,Below_30,4808.3639060000005,No,134.28609939999998,Yes,Female,After_16:00,0.070432733,0.9942551159999999,3758.0,60.43974852,90.5317853,1910.2380239999998,271.4133647,50.36042307,7.774300517,12.242,10728.93944,No,32018.039389999998,5.419879255,178.93585269999997,12.41958241,68.77202831,80.0,Healthcare,13.0,661.5710874,5.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,,123.993481
4218,Browns,1.0,197.9990657,12200.785109999999,30-45,4431.958579,Yes,288.88667430000004,Yes,Female,After_16:00,0.28605816,0.7411961979999999,9737.0,269.66405019999996,63.73228375,2387.940627,977.5176395,45.7842441,16.42145092,6.263,25990.09889,Maybe,34173.68275,4.542262235,184.86125269999997,37.12780615,65.99968856,60.0,Financial,,591.6342414,,Car,Services_or_Retail,No,1.0,55.40580776
4219,Turquoises,4.0,360.9785502,42279.23424,45_and_up,14608.7166,Yes,682.0778700000001,Yes,Female,After_16:00,0.9685828320000001,0.842778892,4799.0,428.7539166,43.28172673,4371.22638,766.1853642000001,84.26214096,20.70637382,5.2010000000000005,52282.4942,Yes,123462.1803,0.56120157,351.3718547,44.99332274,120.3261834,70.0,Social,12.0,166.3003773,1.0,Car,Hightech,Yes,1.0,522.1243192
4220,Greys,5.0,176.4882764,30862.60374,45_and_up,3529.730728,No,896.1054974,No,Female,After_16:00,0.586266245,0.408799333,9582.0,652.2205428,46.70760282,6550.557886,167.05983319999999,75.71997559,25.53860886,2.418,72901.75066,No,275217.4148,3.956446371,524.61168,36.47743633,58.82942548,40.0,Foreign_Affairs,9.0,154.7691741,5.0,Foot_or_bicycle,Services_or_Retail,No,0.0,513.2916818
4221,Browns,5.0,923.7731458999999,13650.707369999998,45_and_up,95135.34939,No,62.98370103,Yes,Female,After_16:00,0.733795863,0.012865317,8872.0,60.60795044,77.83372747,564.5295248,116.8396354,50.16453774,7.7851108170000005,7.127999999999999,5786.426028,Maybe,1965.269692,4.248581249,44.33136239,93.96846839,307.924382,60.0,Financial,8.0,801.7210056,4.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,2.0,8.006818802
4222,Browns,4.0,385.9424135,2802.980969,Below_30,16688.81931,Yes,480.58081050000004,Yes,Male,By_16:00,0.7528354070000001,0.84487872,6176.0,408.26211760000007,95.48349862,1034.405002,430.6591819,89.4714209,20.20549721,9.824,38135.80718,Maybe,474.7202864,8.936132942,21.788076699999998,80.45569994,128.6474712,90.0,Environment,13.0,560.7353988,1.0,Motorcycle_or_truck,Public_Sector,No,0.0,221.93219390000002
4224,Greens,2.0,139.23502280000002,14300.087080000001,45_and_up,2210.455182,Yes,802.3788317000001,Yes,Female,After_16:00,0.44906286100000004,0.013515628,9922.0,500.9133739,41.38658368,4082.96685,953.9028569,90.69171986,22.38109412,0.078,60065.296220000004,Maybe,94934.24331,8.153377557,308.1140102,3.173756995,46.41167427,80.0,Healthcare,13.0,238.4128992,3.0,Public_or_other,Student_or_Unemployed,No,0.0,641.4907883
4225,Purples,3.0,250.35130099999998,26575.22407,Below_30,7057.425314,No,423.0499863,Yes,Female,After_16:00,0.586155551,0.977595098,5151.0,307.8322769,21.01848235,3800.216497,15.11182054,29.15966141,17.54514967,10.849,35291.46967,Yes,101413.7108,3.441710463,318.4551944,57.59222042,83.45043367,70.0,Social,10.0,379.0804037,4.0,Foot_or_bicycle,Hightech,Yes,2.0,228.31083519999999
4226,Turquoises,3.0,484.67669810000007,58464.04233,Below_30,26272.83686,No,651.9645720999999,Yes,Female,After_16:00,0.288697015,0.068608654,5564.0,372.44360510000007,63.16560435,4363.631987,253.10879849999998,44.49863967,19.29879802,4.436,48853.937000000005,Maybe,130953.1376,7.596921206,361.8744777,75.63514546,161.5588994,80.0,Healthcare,10.0,197.7101938,1.0,Foot_or_bicycle,Hightech,Yes,1.0,561.1557596
4227,Turquoises,8.0,853.7239756000001,121713.8782,Below_30,81277.31094,Yes,667.9103982999999,Yes,Female,By_16:00,0.326929918,0.553019125,8448.0,428.6584528,14.69458346,5134.362475,471.35897350000005,22.8592525,20.70406851,1.5519999999999998,52573.63111,Yes,182931.188,2.389687104,427.7045569,4.80876558,284.5746585,70.0,Social,13.0,103.7794032,4.0,Foot_or_bicycle,Services_or_Retail,No,0.0,478.69467010000005
4228,Whites,9.0,267.338579,43578.2487,Below_30,8040.214615999999,Yes,724.4029281,Yes,Male,By_16:00,0.497986408,0.850505466,9154.0,483.35329900000005,57.37071191,5856.937802,752.1407488,73.76068409,21.98529734,0.846,58043.858720000004,Yes,239143.6123,6.42679027,489.0231204,95.95621601,89.11285966,70.0,Social,8.0,27.56672951,3.0,Public_or_other,Services_or_Retail,No,0.0,480.96529389999995
4229,Violets,1.0,48.07339543,504.126507,Below_30,282.8079482,No,172.5373299,Yes,Male,After_16:00,0.693245625,0.30780372,6139.0,36.72800566,16.57896801,388.0540353,527.9202119,25.0699664,6.0603634920000005,9.861,9744.519742,Maybe,989.7191671,7.58046279,31.459802399999997,81.91378659,16.02446514,60.0,Financial,9.0,697.0141646000001,3.0,,Student_or_Unemployed,Yes,2.0,272.67228910000006
4231,Oranges,7.0,693.1129182999999,103348.1366,45_and_up,53619.42848,No,620.9601982,Yes,Female,After_16:00,0.159819032,0.452450972,7482.0,479.7690428,93.39349549,5432.75452,30.92398052,14.22761281,21.90363081,4.518,52630.04255,Yes,200096.6527,0.686702866,447.32164339999997,12.25826028,231.0376394,30.0,Military,5.0,218.53929080000003,3.0,Foot_or_bicycle,Hightech,No,0.0,288.87179080000004
4232,Blues,8.0,1207.796505,196096.3066,30-45,162498.4208,Yes,790.788948,Yes,Male,After_16:00,0.392184304,0.45582509200000004,7722.0,790.9001522000001,48.00139756,6452.562203,960.4667795,60.42138631,28.12294707,6.278,72944.78224,No,237243.2147,0.334835453,487.0761898,35.17583078,402.59883510000003,60.0,Financial,10.0,527.1744678,2.0,Car,Student_or_Unemployed,Yes,0.0,60.54238416
4233,Greens,1.0,243.51805099999999,20977.002109999998,30-45,6680.177258,No,813.3807724,Yes,Female,After_16:00,0.669995705,0.148213344,,509.35751600000003,34.85959377,3602.9590359999997,293.1118978,53.18127719,22.56895026,1.1340000000000001,60281.17822,Yes,66783.17072000001,7.27033789,258.4244004,66.56428047,81.17268367,60.0,Financial,12.0,288.9360807,2.0,Foot_or_bicycle,Public_Sector,Yes,1.0,658.2331359
4234,Browns,9.0,354.422324,730.8313812999999,45_and_up,14085.383409999999,No,67.12892696,Yes,Male,After_16:00,0.055004727999999996,0.526076994,9386.0,70.0206015,46.65069056,201.9022652,228.45590040000002,4.891348351,8.36783135,6.614,5867.433575999999,Yes,38.2679102,3.294703236,6.1861062229999995,2.798245824,118.1407747,70.0,Social,13.0,819.6338602000001,2.0,Car,Industry_or_other,Yes,0.0,6.98354998
4235,Oranges,8.0,834.3682313999999,75909.53894,45_and_up,77640.38335,No,784.9900058,Yes,Male,After_16:00,0.608940216,0.9270533470000001,8250.0,486.6193897,5.0436554010000005,3702.592658,365.8490372,41.650322100000004,22.05945126,3.75,58277.44752,No,74493.72593,9.565750975,272.9353878,18.66460848,278.1227438,50.0,Other,10.0,266.817354,0.0,Car,Student_or_Unemployed,No,2.0,639.4780326
4236,Greys,10.0,820.2903068,,Below_30,75047.45092,No,614.3252458,Yes,Male,After_16:00,0.9056566770000001,0.5103322920000001,6761.0,387.5250623,49.97939938,5708.575477,401.5033434,41.80300052,19.68565626,5.239,49335.00015,No,243396.724,0.156420702,493.3525352,98.77764226,273.4301023,40.0,Foreign_Affairs,6.0,131.3767364,2.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,432.4348723
4238,Browns,8.0,160.1476056,8371.149007,Below_30,2913.077598,No,291.05626889999996,Yes,Female,By_16:00,0.12044369199999999,0.156321074,8498.0,305.7703522,53.21208849,2179.6844760000004,670.1916205,65.72141979999999,17.48629041,7.502000000000001,27135.822239999998,Yes,24590.748880000003,7.4279990929999995,156.8143772,18.176018399999997,,90.0,Environment,11.0,636.5050127000001,3.0,Car,Hightech,No,1.0,0.363028371
4239,Turquoises,,847.7566626,112594.8279,Below_30,80147.181,No,653.2216375,Yes,Male,By_16:00,0.37565318299999995,0.86239226,3419.0,390.4587295,67.98403135,4765.368404999999,450.8330233,7.1710820779999995,19.76002858,6.581,50060.62145,Maybe,158758.4934,1.092064034,398.44509460000006,88.04309373,282.5855542,80.0,Healthcare,10.0,151.2787623,1.0,Motorcycle_or_truck,Industry_or_other,No,0.0,523.928543
4240,Greys,4.0,173.8968716,28802.13037,30-45,3427.979176,No,739.4896082,Yes,Male,After_16:00,0.154148425,0.9337990629999999,4942.0,509.4867608,96.59919797,5987.803052,233.2687387,41.26078826,22.57181341,7.058,59844.05956,Yes,246892.669,2.9733316860000003,496.88295300000004,95.99165791,57.96562388,30.0,Military,5.0,38.78119506,2.0,Foot_or_bicycle,Industry_or_other,No,0.0,462.5264563
4241,Greys,8.0,471.9197006,96081.54695,Below_30,24912.66255,Yes,733.5191187999999,No,Male,After_16:00,0.628191689,0.132036848,7196.0,501.73668389999995,20.96608486,7111.390466,943.8924319,,22.39947954,4.803999999999999,,Maybe,373066.5128,3.994479165,610.7917097999999,6.176745822000001,157.3065669,30.0,Military,7.0,125.1815933,1.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,441.7538647
4242,Browns,7.0,643.5479594,88160.65359,45_and_up,46241.62443,Yes,490.33878300000003,Yes,Female,After_16:00,0.932493503,0.318521673,7187.0,429.9500994,80.60126591,4969.6476840000005,,59.97691795,20.73523811,8.812999999999999,44247.744739999995,No,168900.2439,0.885595502,410.9747485,9.596580802,214.51598650000003,60.0,Financial,8.0,392.14581319999996,3.0,Foot_or_bicycle,Student_or_Unemployed,Yes,0.0,124.57243729999999
4244,Whites,4.0,143.0061394,22623.29982,Below_30,2329.974925,No,643.4891166,Yes,Male,By_16:00,0.861568905,0.21079077699999998,3761.0,426.4855734,44.393237,5598.914204,643.7836179999999,47.6074137,20.65152714,6.239,51947.81189,No,225239.7551,1.014212738,474.59430580000003,88.74506109999999,47.66871314,80.0,Healthcare,8.0,108.47763370000001,1.0,Foot_or_bicycle,Hightech,Yes,0.0,424.38534000000004
4245,Browns,10.0,231.4545386,1437.129624,30-45,6039.5074509999995,Yes,66.30982819,Yes,Female,By_16:00,0.960553875,0.32294405,5793.0,60.9748502,12.3266584,308.22338060000004,706.9708516,83.21855557,7.808639459,10.207,5634.860678,Yes,346.97883939999997,2.23532354,18.62736802,79.58934461,77.15151287,70.0,Social,10.0,809.7466017999999,4.0,Public_or_other,Hightech,Yes,0.0,19.13945242
4246,Turquoises,1.0,919.8835118999999,144700.4575,45_and_up,94337.25845,Yes,639.8773022,Yes,Male,By_16:00,0.7029866229999999,0.9348171129999999,6802.0,393.05867830000005,82.92893374,5505.208056,286.16880249999997,13.27003159,19.82570751,3.198,50458.09335,No,222698.1703,9.201147554,471.90907000000004,82.4315167,306.6278373,70.0,,12.0,112.7626216,1.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,1.0,477.86716950000005
4247,Turquoises,8.0,847.4996898,120777.114,45_and_up,80098.69148,Yes,711.6331725,Yes,Female,By_16:00,0.960711877,0.12331851,9617.0,449.79390920000003,9.580035205,5174.885455,259.43057819999996,58.71180845,21.20834527,0.38299999999999995,55398.5399,Maybe,182781.6988,3.767820268,427.5297637,33.09917154,282.4998966,100.0,Education,12.0,,6.0,Car,Public_Sector,No,0.0,
4249,Turquoises,1.0,30.68045078,4431.028908,45_and_up,124.8146014,Yes,637.8883162999999,Yes,Male,By_16:00,0.090116284,0.574941665,7247.0,344.7194545,28.94779313,5022.193606,282.9001111,94.79433321,18.56662205,2.753,48021.64932,Maybe,187727.6326,8.511743781,433.2754697,66.36979319,10.22681693,80.0,Healthcare,14.0,182.4111018,2.0,Public_or_other,Industry_or_other,Yes,0.0,568.6265205
4250,Purples,2.0,801.1870431,114287.9839,30-45,71599.35991,No,474.4200391,Yes,Female,By_16:00,0.954178328,0.986471471,9638.0,385.12352480000004,60.98465533,5049.696582,603.0534324,51.38771269,19.62456432,6.362,41995.60727,No,,8.782223382,427.9449532,44.84563759,267.0623477,60.0,Financial,12.0,356.7486018,1.0,Public_or_other,Hightech,No,0.0,170.0287428
4251,Browns,1.0,702.9920746,8292.549588,30-45,55155.20368,Yes,298.2223457,Yes,Male,After_16:00,0.873431078,0.6830059079999999,9661.0,235.68203540000002,15.42159747,825.2464213,86.66330576,30.39733772,15.35193914,6.3389999999999995,23254.368580000002,Maybe,1252.327179,1.05908724,35.38823504,89.60256272,234.3306915,80.0,Healthcare,14.0,630.7612171,1.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,0.0,165.1393805
4254,Blues,1.0,1803.0995469999998,231003.8097,45_and_up,361851.9193,No,942.142964,Yes,Male,After_16:00,0.352421229,0.144916813,5934.0,886.1766104000001,93.68242959,5615.798417,753.9660693,95.04538928,29.76871866,8.066,82310.86555,Yes,147720.7097,8.799883422999999,384.34451960000007,40.76975568,601.0331822,100.0,Education,16.0,495.2578699,1.0,Public_or_other,Student_or_Unemployed,Yes,0.0,212.2991255
4255,Turquoises,3.0,255.9238558,29726.0558,30-45,7372.754615999999,Yes,597.6588152,Yes,Male,By_16:00,0.8717470629999999,0.777481235,4365.0,370.9076363,,4226.373877,854.6811395999999,21.50711673,19.25896249,5.635,46130.192930000005,Yes,121421.4867,2.991364845,348.4558604,17.5652612,85.30795194,60.0,Financial,11.0,203.457801,0.0,Car,Hightech,No,0.0,457.99271289999996
4256,Browns,10.0,257.13531780000005,8628.791206,30-45,7442.219737,No,193.97256769999998,Yes,Male,After_16:00,0.62417323,0.9368217390000001,6537.0,142.9081637,39.07115059,1292.538151,101.6503519,11.34606772,11.95442026,9.463,15687.328290000001,No,10134.88831,0.040309412999999995,100.6721824,91.27345759999999,85.71177261,60.0,Financial,10.0,662.2902188999999,1.0,Public_or_other,Public_Sector,No,1.0,110.57600409999999
4257,Greens,1.0,279.11742189999995,23884.58625,45_and_up,8759.320831,Yes,812.3329792000001,Yes,Female,By_16:00,0.103230476,0.699989273,9867.0,518.6790857,56.0382789,3604.5128210000003,374.5173838,59.89905309,22.77452712,0.133,60571.601520000004,Maybe,65902.82997,1.558356991,256.715465,51.93107277,93.03914063,70.0,Social,10.0,281.162775,4.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,639.7005112
4259,Turquoises,6.0,810.743782,118860.4911,45_and_up,73314.19016,No,671.3212181,Yes,Female,By_16:00,0.22970168300000002,0.347779533,8841.0,430.7009323,93.39282785,5259.603628,87.79708971,53.748296499999995,20.75333545,1.159,52959.602210000005,Yes,193441.7875,3.3824871689999996,439.8201763,19.41660177,270.2479273,100.0,Education,12.0,94.06191183,2.0,Motorcycle_or_truck,Student_or_Unemployed,No,0.0,479.4167227
4260,Yellows,5.0,-274.5273569,-46543.07175,30-45,8292.409737,No,710.9960982999999,No,Male,After_16:00,0.76827708,0.680542255,3287.0,509.7913932,89.13510058,6105.750402000001,691.0970967999999,75.86274918,22.57856048,10.713,58690.61614,No,258691.0101,6.897467421,508.6167616,78.22295183,-91.50911898,90.0,Environment,13.0,98.22548121,0.0,Car,Student_or_Unemployed,Yes,0.0,402.64433660000003
4261,Turquoises,10.0,311.5762645,44985.07125,Below_30,10900.49971,Yes,727.1973927,Yes,Female,After_16:00,0.001536727,0.849954525,9345.0,473.701914,3.0847379939999997,5278.773998,443.6096916999999,7.33611912,21.76469421,0.655,57106.87295,No,187607.6755,5.408096593,433.137017,99.79188314,103.8587548,90.0,Environment,14.0,73.41918505,1.0,Foot_or_bicycle,Student_or_Unemployed,No,0.0,515.1039367999999
4262,Oranges,9.0,421.1680254,62232.10182,30-45,19859.556630000003,No,635.8664142000001,Yes,Female,By_16:00,0.205852493,0.9611051629999999,4901.0,305.37287430000003,47.61574822,5043.568143,197.9100443,85.31734869,17.474921300000002,7.099,46533.94777,Yes,196499.1438,2.9898475510000004,443.2822393999999,55.22577029,140.3893418,50.0,Other,11.0,242.6799776,0.0,Motorcycle_or_truck,Public_Sector,Yes,1.0,633.4052066
4263,Browns,5.0,715.7929812000001,2814.067734,45_and_up,57177.441210000005,Yes,18.01190047,Yes,Male,After_16:00,0.346592269,0.069540643,4090.0,14.4233231,19.62371422,146.788613,777.8430708999999,74.55939869,3.797805037,11.91,1531.535732,No,139.1030753,3.811882914,11.79419668,56.12063734,238.59766040000002,60.0,Financial,9.0,846.4549435,3.0,Motorcycle_or_truck,Industry_or_other,Yes,1.0,7.702980037000001
4264,Turquoises,6.0,264.3450411,30549.00175,Below_30,7862.370655,No,587.1565061000001,Yes,Male,By_16:00,0.532628082,0.275857938,8395.0,369.8820356,79.42106277,4206.710335,362.90364289999997,85.11174119,19.23231748,1.605,45585.65922,No,120197.1639,8.099221359,346.69462630000004,7.612505066000001,88.11501371,70.0,Social,12.0,210.0750185,1.0,Foot_or_bicycle,Services_or_Retail,No,0.0,439.18642300000005
4265,Whites,2.0,177.67324069999998,27800.90186,Below_30,3576.755575,Yes,696.4645062999999,Yes,Female,After_16:00,0.869603005,0.42867659799999996,6272.0,441.2697352,53.65388517,5576.701926,240.43228080000003,85.93419632,21.00642128,3.728,54891.140510000005,No,220351.6116,6.942916519,469.4162456,63.80465969,59.22441356,60.0,Financial,7.0,66.38727236,1.0,Motorcycle_or_truck,Industry_or_other,Yes,0.0,504.7602403
4266,Greens,4.0,417.4984503,38991.85542,30-45,19516.38348,Yes,784.2126278,Yes,Male,By_16:00,0.13065285,0.814411298,6660.0,485.96965530000006,68.60278407,3773.7596810000005,510.80577980000004,92.10905519,22.04471944,3.34,58306.46684,No,78501.97387999999,8.368429039,280.18203700000004,81.63421708,139.16615009999998,90.0,Environment,15.0,259.73546519999996,1.0,Car,Public_Sector,No,0.0,637.6434687000001
4268,Turquoises,8.0,521.718399,77154.33066,45_and_up,30427.24923,Yes,664.2392569,Yes,Female,By_16:00,0.085616358,0.322559925,7436.0,391.4779112,23.73329208,5219.506123,773.6602449,70.57823583,19.78580075,2.5639999999999996,51167.37556,Yes,196829.7857,8.861968336,443.65502999999995,45.52346962,173.906133,90.0,Environment,14.0,127.2120896,2.0,Motorcycle_or_truck,Services_or_Retail,No,0.0,535.0872674999999
4270,Violets,8.0,422.3647098999999,4971.403317,45_and_up,19972.11581,No,64.35139837,Yes,Female,By_16:00,0.782986678,0.7445213629999999,4833.0,43.56256356,83.840618,440.2372505,90.58404597,33.40970678,6.600194206,11.167,5079.538311,Yes,1246.881717,7.419391996,35.31121233,27.65230781,140.7882366,60.0,Financial,10.0,795.5573628999999,2.0,Foot_or_bicycle,Hightech,No,1.0,43.22793987
4273,Khakis,10.0,215.1319003,24504.63148,30-45,5224.125583,No,583.1985341,Yes,Male,By_16:00,0.688235232,0.695492463,4449.0,385.83896780000003,67.80646178,4188.83245,815.7069604,66.89543272,19.64278412,5.551,45957.78832,No,116769.4498,6.479580121000001,341.7154514,44.6752446,71.71063345,90.0,Environment,9.0,217.6936636,1.0,Public_or_other,Hightech,Yes,0.0,403.5438358
4275,Turquoises,3.0,268.03389730000004,36627.91454,Below_30,8081.807976000001,Yes,614.5888345,Yes,Male,By_16:00,,0.583314595,4894.0,369.379565,72.25494916,4838.380287,952.4782295,48.81646596,19.21924985,5.106,47612.66783,Yes,168068.9363,4.934379826,409.96211569999997,66.5141311,89.34463243,60.0,Financial,11.0,159.6299998,6.0,Car,Student_or_Unemployed,No,1.0,482.3020289
4276,Turquoises,8.0,551.8119446000001,87259.44731,30-45,34026.87311,Yes,692.2394304,Yes,Female,After_16:00,0.671983856,0.041157795,5145.0,394.8951792,65.86717253,5533.767804,556.5873607999999,74.61567956,19.87196969,4.855,52968.49975,Yes,225053.2201,8.738109665,474.39774460000007,6.847834936,183.9373149,60.0,Financial,9.0,133.82842040000003,4.0,Public_or_other,Services_or_Retail,Yes,0.0,578.7879893999999
4277,Browns,5.0,393.61738660000003,38526.35937,Below_30,17356.16658,Yes,414.0148794,Yes,Female,After_16:00,0.9468319070000001,0.40536922799999997,4630.0,339.3164305,12.71620882,3614.963472,669.7054987,34.80450439,18.42054371,11.37,35783.34863,Maybe,86220.37456,4.9206990610000005,293.6330611,29.96284231,131.2057955,90.0,Environment,14.0,430.12305760000004,0.0,Public_or_other,Public_Sector,,2.0,158.5335716
4278,Blues,10.0,1766.4574719999998,510548.9245,Below_30,347306.8192,Yes,901.8167578,No,Female,By_16:00,0.07717084099999999,0.685908142,3707.0,903.3794072000001,10.07147261,10477.48425,253.2778815,12.4956809,30.05627068,10.293,87105.71552,Yes,751814.7959,1.24700204,867.0725436,79.88079207,588.8191574,70.0,Social,9.0,737.1148022000001,3.0,Foot_or_bicycle,Hightech,No,1.0,4.136073869
4279,Purples,10.0,462.091813,4181.564277,Below_30,23889.45768,Yes,12.85785202,Yes,Male,After_16:00,0.5721403620000001,0.270671561,3951.0,2.333058046,23.9753413,276.1423136,449.7433091,87.75534402,1.52743512,12.049000000000001,1018.1477179999999,Yes,736.9932582,0.329062089,27.14761975,47.10634542,154.0306043,80.0,Healthcare,12.0,839.9011037999999,2.0,Foot_or_bicycle,Public_Sector,Yes,0.0,16.08667561
4280,Pinks,8.0,401.6727995,43390.56855,30-45,18070.672919999997,Yes,685.3397395,Yes,Female,By_16:00,0.9067964759999999,0.241215765,5468.0,395.39662830000003,67.14805779,4031.533128,971.3286911,67.70453027,19.88458268,4.532,50806.455310000005,Yes,105023.9491,0.5593867370000001,324.0739871,62.37916602,133.8909332,100.0,Education,9.0,225.2913475,1.0,Car,Industry_or_other,No,0.0,594.1507507
4281,Pinks,8.0,683.8332797999999,161724.4622,45_and_up,52196.60604,No,910.5323854000001,No,Female,By_16:00,0.156214826,0.64314189,,657.9362214,52.54459349,8410.779945,704.113388,77.42477334,25.65026747,6.7410000000000005,76078.51318,No,503377.1247,0.9422222570000001,709.4907503,52.13376069,227.94442659999999,90.0,Environment,8.0,262.4050768,1.0,Motorcycle_or_truck,Public_Sector,No,2.0,494.88142220000003
4283,Greys,,303.58452739999996,40874.97833,30-45,10351.590979999999,Yes,764.6626037000001,Yes,Male,After_16:00,0.5125473229999999,0.030862617999999998,3557.0,518.2553759,98.27716569,5075.746086,896.4801116,85.80041348,22.76522295,8.443,60187.7891,Yes,,9.529101262000001,403.9235334,55.85593402,101.19484250000001,40.0,Foreign_Affairs,8.0,99.04460829,3.0,Motorcycle_or_truck,Services_or_Retail,No,4.0,515.6808242
4285,Turquoises,1.0,431.4566367,64667.21641,Below_30,20837.6888,No,695.9119416,Yes,Female,After_16:00,0.019255973,0.057092033,8510.0,443.4047465,31.0782447,5383.24396,410.47776980000003,28.63693472,21.05717803,1.49,54702.951270000005,No,202179.2292,6.549706068,449.6434467,25.84965175,143.81887890000002,100.0,Education,16.0,75.84848603,0.0,Car,Industry_or_other,Yes,0.0,503.76665030000004
4286,Khakis,1.0,891.204099,98673.06822999999,45_and_up,88556.48426,No,597.9245999,Yes,Female,By_16:00,0.138467198,0.708213645,3983.0,399.5022557,23.7837225,4120.569179,844.9904639,9.167591901,19.98755252,6.017,47044.05885,Yes,110327.9184,4.423770944,332.15646680000003,12.20446085,297.068033,100.0,Education,10.0,215.20886230000002,2.0,Car,Services_or_Retail,No,0.0,410.3138462
4288,Yellows,7.0,21.86680363,3889.8166189999997,Below_30,70.41750132,No,676.4065324,No,Female,By_16:00,0.306078521,0.681920393,3802.0,333.88948519999997,69.78854069,6004.384199,25.35849786,67.03261891,18.27264308,10.198,50620.2251,Yes,284793.5536,8.823260285,533.6605228,17.84753315,7.288934544,90.0,Environment,15.0,223.1006668,1.0,Motorcycle_or_truck,Hightech,Yes,1.0,645.079887
4289,Turquoises,1.0,130.118314,17807.442469999998,45_and_up,1934.570063,Yes,695.3865337,Yes,Female,By_16:00,0.39477121299999995,0.8664867140000001,8859.0,413.2611022,57.40231748,4932.195401,773.8283582,,20.32882442,1.141,53030.69386,Maybe,168565.52399999998,1.8364597669999998,410.5673197,14.58298692,43.37277132,100.0,Education,12.0,140.4262636,2.0,Public_or_other,Student_or_Unemployed,Yes,1.0,564.7896196
4290,Browns,7.0,1014.883489,69256.9003,Below_30,114791.4607,Yes,571.5538757999999,Yes,Male,By_16:00,,0.129683104,9411.0,460.30852089999996,34.94438881,2967.854023,592.1696872,57.78846345,21.45480182,6.5889999999999995,,Yes,41911.79255,4.951691178,204.72369809999998,66.40224904,338.29449619999997,80.0,Healthcare,12.0,374.188446,3.0,Public_or_other,Public_Sector,No,1.0,273.6076744
4291,Yellows,4.0,842.2418211000002,72956.42281,30-45,79109.77896,Yes,628.4003874,Yes,Female,After_16:00,0.785203751,0.963390548,4693.0,326.11743789999997,51.04378909,3250.886035,217.6976767,48.23339267,18.05872193,,44716.87836,Yes,67529.87845,1.34615317,259.8651159,40.846097799999995,280.7472737,60.0,Financial,11.0,319.030725,1.0,Motorcycle_or_truck,Hightech,Yes,0.0,617.8163634
4293,Oranges,10.0,235.94781859999998,51642.22113,30-45,6274.357395,No,630.4693777000001,No,Male,By_16:00,0.938126707,0.47885836600000004,5354.0,265.3598688,16.57773014,7096.860689,899.6217913999999,4.826494306,16.28987013,6.646,47386.49709,Maybe,431142.0699,9.897058802,656.6140951,81.38002781,78.64927286,,Military,8.0,320.4345353,1.0,Foot_or_bicycle,Student_or_Unemployed,No,2.0,651.9681724999999
4294,Khakis,3.0,477.4961103999999,48358.72897,45_and_up,25502.78042,No,558.6281747,Yes,Female,By_16:00,0.455344254,0.870266888,9272.0,375.72972000000004,85.54261562,,398.9931247,38.50096862,19.38374886,0.728,43967.51741,Yes,92310.81559,5.504142886,303.82695010000003,23.88265524,159.1653701,70.0,Social,7.0,261.31285519999994,1.0,Public_or_other,Services_or_Retail,Yes,0.0,380.1774635
4295,Pinks,7.0,103.3462047,24374.7873,Below_30,1231.16407,No,904.2053927999999,No,Female,After_16:00,0.9415436840000001,,5932.0,662.6312795,50.17162878,8400.932358,54.215592799999996,85.13022389,25.74162543,4.0680000000000005,75944.84601000001,No,500651.031,3.2836362039999996,707.5669799,39.10725187,34.44873488,80.0,Healthcare,9.0,264.9540218,2.0,Motorcycle_or_truck,Student_or_Unemployed,Yes,0.0,474.1610864
